P1,N2,P3,M4,P5,M6,N7,N8,M9,P10,M11,N12,CONDITION
-0.1777024073766484,-0.5471342964706208,-1.845334763550912,-1.6215070968129308,-1.7458558005562537,-1.845334763550912,-0.8704409262032604,-0.5421603483208879,-1.855282659850378,-1.0246333188449808,-1.9448137265455705,-0.95499804474872,1
-0.3173979555595969,-0.9226125310526772,-1.845334763550912,-1.6215070968129308,-1.7458558005562537,-1.845334763550912,-0.6941150350443039,-0.6251346588908328,-1.855282659850378,-0.7156714025922637,-1.9448137265455705,-0.95499804474872,1
-0.3173979555595969,-0.9226125310526772,-0.344901880767356,-0.0675269148031264,-0.0462026259179285,-0.0427266478637918,-0.1068166196594797,-0.4940126925070826,-0.0639728666555934,-0.2665536110649726,-0.0462026259179285,-0.8794997959567576,1
-0.3173979555595969,-0.9226125310526772,-0.0462026259179285,-0.0675269148031264,-0.3707695218249076,-0.3319680602385801,-0.6941150350443039,-0.6251346588908328,-0.3319680602385801,-0.7156714025922637,-0.2500538635563331,-0.216796936999511,1
-0.4526292816256954,-0.5471342964706208,-1.845334763550912,-1.6215070968129308,-1.7458558005562537,-1.845334763550912,-0.8704409262032604,-0.4940126925070826,-1.855282659850378,-0.2665536110649726,-1.9448137265455705,-0.216796936999511,1
-0.3931005987494188,-0.9226125310526772,-1.845334763550912,-1.6215070968129308,-0.3707695218249076,-1.845334763550912,-0.8704409262032604,-0.5421603483208879,-1.855282659850378,-0.7156714025922637,-1.9448137265455705,-0.95499804474872,1
-0.4354386244687869,-0.9226125310526772,-1.845334763550912,-0.4138822569208272,-0.3707695218249076,-0.3319680602385801,-0.6941150350443039,-0.6251346588908328,-0.3319680602385801,-0.2665536110649726,-0.2500538635563331,-0.0610380683768455,1
-0.4526292816256954,-0.9226125310526772,-1.845334763550912,-1.6215070968129308,-0.3707695218249076,-1.845334763550912,-0.6941150350443039,-0.2319446598320131,-1.855282659850378,-0.7156714025922637,-1.9448137265455705,-0.95499804474872,1
-0.3931005987494188,-0.9226125310526772,-1.845334763550912,-1.6215070968129308,-1.7458558005562537,-1.845334763550912,-0.8704409262032604,-0.5421603483208879,-1.855282659850378,-1.0246333188449808,-1.9448137265455705,-0.8794997959567576,1
-0.4526292816256954,-0.5471342964706208,-1.845334763550912,-0.0598196563314333,-0.0462026259179285,-1.845334763550912,-0.034182660760819,-0.0427283259510237,-0.0639728666555934,-0.0732456820522146,-0.0227884405072126,-0.0610380683768455,1
-0.3931005987494188,-0.0512739911412285,-1.845334763550912,-1.6215070968129308,-1.7458558005562537,-1.845334763550912,-0.3589588629008298,-0.2319446598320131,-1.855282659850378,-1.0246333188449808,-1.9448137265455705,-0.8794997959567576,1
-0.3931005987494188,-0.4229317295564233,-0.344901880767356,-0.0671418752145301,-1.7458558005562537,-0.0370312158242206,-0.6941150350443039,-0.4940126925070826,-0.3319680602385801,-0.7156714025922637,-0.0427266478637918,-0.216796936999511,1
-0.3931005987494188,-0.9226125310526772,-1.845334763550912,-0.4138822569208272,-1.7458558005562537,-1.845334763550912,-0.8704409262032604,-0.4940126925070826,-1.855282659850378,-1.0246333188449808,-1.9448137265455705,-0.216796936999511,1
-0.3931005987494188,-0.5471342964706208,-1.845334763550912,-1.6215070968129308,-1.7458558005562537,-1.845334763550912,-0.6941150350443039,-0.6251346588908328,-1.855282659850378,-0.2665536110649726,-1.9448137265455705,-0.95499804474872,1
-0.3931005987494188,-0.5471342964706208,-1.845334763550912,-1.6215070968129308,-1.7458558005562537,-1.845334763550912,-0.8704409262032604,-0.5421603483208879,-1.855282659850378,-1.0246333188449808,-1.9448137265455705,-0.8794997959567576,1
-0.4526292816256954,-0.5471342964706208,-1.845334763550912,-1.6215070968129308,-1.7458558005562537,-1.845334763550912,-0.8704409262032604,-0.5421603483208879,-1.855282659850378,-1.0246333188449808,-1.9448137265455705,-0.95499804474872,1
-0.3173979555595969,-0.4229317295564233,-1.845334763550912,-1.6215070968129308,-1.7458558005562537,-1.845334763550912,-0.6941150350443039,-0.2319446598320131,-1.855282659850378,-0.7156714025922637,-1.9448137265455705,-0.8794997959567576,1
-0.4354386244687869,-0.9226125310526772,-1.845334763550912,-0.4138822569208272,-1.7458558005562537,-0.3319680602385801,-0.6941150350443039,-0.6251346588908328,-1.855282659850378,-0.7156714025922637,-1.9448137265455705,-0.8794997959567576,1
-0.4354386244687869,-0.5471342964706208,-1.845334763550912,-1.6215070968129308,-1.7458558005562537,-1.845334763550912,-0.8704409262032604,-0.5421603483208879,-1.855282659850378,-0.7156714025922637,-1.9448137265455705,-0.8794997959567576,1
-0.4354386244687869,-0.4229317295564233,-1.845334763550912,-1.6215070968129308,-1.7458558005562537,-1.845334763550912,-0.6941150350443039,-0.4940126925070826,-0.3319680602385801,-0.7156714025922637,-1.9448137265455705,-0.8794997959567576,1
-0.4526292816256954,-0.9226125310526772,-0.344901880767356,-0.4138822569208272,-0.3707695218249076,-1.845334763550912,-0.6941150350443039,-0.6251346588908328,-0.3319680602385801,-0.7156714025922637,-1.9448137265455705,-0.95499804474872,1
-0.3173979555595969,-0.4229317295564233,-1.845334763550912,-0.4138822569208272,-1.7458558005562537,-1.845334763550912,-0.1068166196594797,-0.2319446598320131,-0.3319680602385801,-0.2665536110649726,-1.9448137265455705,-0.8794997959567576,1
-0.3173979555595969,-0.9226125310526772,-1.845334763550912,-1.6215070968129308,-0.3707695218249076,-1.845334763550912,-0.6941150350443039,-0.4940126925070826,-1.855282659850378,-0.2665536110649726,-1.9448137265455705,-0.8794997959567576,1
-0.4526292816256954,-0.9226125310526772,-1.845334763550912,-0.0671418752145301,-1.7458558005562537,-0.0427266478637918,-0.6941150350443039,-0.6251346588908328,-1.855282659850378,-0.7156714025922637,-1.9448137265455705,-0.8794997959567576,1
-0.3931005987494188,-0.4229317295564233,-1.845334763550912,-0.4138822569208272,-1.7458558005562537,-1.845334763550912,-0.8704409262032604,-0.5421603483208879,-1.855282659850378,-0.7156714025922637,-1.9448137265455705,-0.8794997959567576,1
-0.1777024073766484,-0.9226125310526772,-1.845334763550912,-1.6215070968129308,-1.7458558005562537,-1.845334763550912,-0.3589588629008298,-0.2319446598320131,-0.3319680602385801,-0.2665536110649726,-1.9448137265455705,-0.95499804474872,1
-0.3931005987494188,-0.5471342964706208,-1.845334763550912,-1.6215070968129308,-1.7458558005562537,-1.845334763550912,-0.8704409262032604,-0.5421603483208879,-1.855282659850378,-1.0246333188449808,-1.9448137265455705,-0.8794997959567576,1
-0.3931005987494188,-0.4229317295564233,-1.845334763550912,-0.4138822569208272,-1.7458558005562537,-1.845334763550912,-0.6941150350443039,-0.4940126925070826,-1.855282659850378,-0.2665536110649726,-1.9448137265455705,-0.8794997959567576,1
-0.3173979555595969,-0.9226125310526772,-1.845334763550912,-1.6215070968129308,-1.7458558005562537,-1.845334763550912,-0.1068166196594797,-0.2319446598320131,-1.855282659850378,-0.7156714025922637,-1.9448137265455705,-0.8794997959567576,1
-0.4526292816256954,-0.9226125310526772,-1.845334763550912,-1.6215070968129308,-1.7458558005562537,-1.845334763550912,-0.6941150350443039,-0.4940126925070826,-1.855282659850378,-1.0246333188449808,-1.9448137265455705,-0.8794997959567576,1
-0.4354386244687869,-0.9226125310526772,-1.845334763550912,-1.6215070968129308,-0.068365321521638,-1.845334763550912,-0.3589588629008298,-0.6251346588908328,-1.855282659850378,-0.7156714025922637,-1.9448137265455705,-0.8794997959567576,1
-0.3931005987494188,-0.9226125310526772,-1.845334763550912,-1.6215070968129308,-1.7458558005562537,-1.845334763550912,-0.6941150350443039,-0.4940126925070826,-1.855282659850378,-1.0246333188449808,-1.9448137265455705,-0.8794997959567576,1
-0.4354386244687869,-0.4229317295564233,-0.344901880767356,-0.4138822569208272,-1.7458558005562537,-0.3319680602385801,-0.3589588629008298,-0.4940126925070826,-1.855282659850378,-0.7156714025922637,-0.2500538635563331,-0.216796936999511,1
-0.3931005987494188,-0.9226125310526772,-1.845334763550912,-1.6215070968129308,-1.7458558005562537,-1.845334763550912,-0.6941150350443039,-0.5421603483208879,-1.855282659850378,-1.0246333188449808,-1.9448137265455705,-0.95499804474872,1
-0.3931005987494188,-0.5471342964706208,-1.845334763550912,-1.6215070968129308,-1.7458558005562537,-1.845334763550912,-0.8704409262032604,-0.5421603483208879,-1.855282659850378,-1.0246333188449808,-1.9448137265455705,-0.95499804474872,1
-0.4354386244687869,-0.4229317295564233,-1.845334763550912,-1.6215070968129308,-1.7458558005562537,-1.845334763550912,-0.6941150350443039,-0.4940126925070826,-1.855282659850378,-0.7156714025922637,-1.9448137265455705,-0.8794997959567576,1
-0.1777024073766484,-0.9226125310526772,-1.845334763550912,-1.6215070968129308,-1.7458558005562537,-0.3319680602385801,-0.8704409262032604,-0.6251346588908328,-0.3319680602385801,-0.7156714025922637,-0.2500538635563331,-0.8794997959567576,1
-0.3931005987494188,-0.9226125310526772,-0.0462026259179285,-1.6215070968129308,-1.7458558005562537,-0.3319680602385801,-0.8704409262032604,-0.5421603483208879,-1.855282659850378,-1.0246333188449808,-1.9448137265455705,-0.216796936999511,1
-0.1777024073766484,-0.9226125310526772,-1.845334763550912,-1.6215070968129308,-1.7458558005562537,-1.845334763550912,-0.3589588629008298,-0.2319446598320131,-1.855282659850378,-1.0246333188449808,-1.9448137265455705,-0.8794997959567576,1
-0.4354386244687869,-0.9226125310526772,-0.344901880767356,-0.4138822569208272,-0.3707695218249076,-0.3319680602385801,-0.3589588629008298,-0.4940126925070826,-0.3319680602385801,-0.2665536110649726,-0.2500538635563331,-0.8794997959567576,1
-0.4354386244687869,-0.4229317295564233,-1.845334763550912,-1.6215070968129308,-1.7458558005562537,-1.845334763550912,-0.3589588629008298,-0.4940126925070826,-1.855282659850378,-1.0246333188449808,-1.9448137265455705,-0.95499804474872,1
-0.4354386244687869,-0.4229317295564233,-1.845334763550912,-1.6215070968129308,-1.7458558005562537,-1.845334763550912,-0.3589588629008298,-0.2319446598320131,-1.855282659850378,-0.7156714025922637,-1.9448137265455705,-0.8794997959567576,1
-0.3173979555595969,-0.5471342964706208,-1.845334763550912,-1.6215070968129308,-1.7458558005562537,-1.845334763550912,-0.8704409262032604,-0.5421603483208879,-1.855282659850378,-1.0246333188449808,-1.9448137265455705,-0.95499804474872,1
-0.3931005987494188,-0.5471342964706208,-1.845334763550912,-0.4138822569208272,-1.7458558005562537,-1.845334763550912,-0.8704409262032604,-0.6251346588908328,-1.855282659850378,-0.7156714025922637,-1.9448137265455705,-0.8794997959567576,1
-0.4354386244687869,-0.9226125310526772,-1.845334763550912,-1.6215070968129308,-1.7458558005562537,-1.845334763550912,-0.8704409262032604,-0.5421603483208879,-0.3319680602385801,-0.7156714025922637,-1.9448137265455705,-0.0610380683768455,1
